redundancy_group,group_size,pdb_id,representative_pdb_id,is_representative,representative_selection_reason,rank,total_peptide_length,mhc_length,binder_lengths,resolution_angstrom,experimental_method
RED00300,1,7KGT,7KGT,yes,singleton,1,183,180,,1.9,X-ray
RED00301,1,7LFZ,7LFZ,yes,singleton,1,189,180,,1.9,X-ray
RED00302,1,7SIH,7SIH,yes,singleton,1,188,180,,1.9,X-ray
RED00303,1,7SIS,7SIS,yes,singleton,1,189,180,,1.9,X-ray
RED00304,1,7U21,7U21,yes,singleton,1,189,180,,1.9,X-ray
RED00305,1,8REF,8REF,yes,singleton,1,190,180,,1.9,X-ray
RED00306,2,8VJZ,8VJZ,yes,best_resolution,1,190,180,,1.9,X-ray
RED00306,2,8DVG,8VJZ,no,best_resolution,2,190,180,,2.594,X-ray
RED00307,1,4O2F,4O2F,yes,singleton,1,188,180,,1.901,X-ray
RED00308,1,6PTE,6PTE,yes,singleton,1,189,180,,1.901,X-ray
RED00309,1,4JFP,4JFP,yes,singleton,1,190,180,,1.91,X-ray
RED00310,1,7XF3,7XF3,yes,singleton,1,189,180,,1.91,X-ray
RED00311,1,8XKE,8XKE,yes,singleton,1,192,180,,1.92,X-ray
RED00312,1,9CX0,9CX0,yes,singleton,1,189,180,,1.92,X-ray
RED00313,1,3FQW,3FQW,yes,singleton,1,189,180,,1.927,X-ray
RED00314,1,3MR9,3MR9,yes,singleton,1,189,180,,1.93,X-ray
RED00315,1,3LV3,3LV3,yes,singleton,1,189,180,,1.94,X-ray
RED00316,1,5GRG,5GRG,yes,singleton,1,190,180,,1.94,X-ray
RED00317,1,3VFT,3VFT,yes,singleton,1,193,180,,1.947,X-ray
RED00318,1,8F5A,8F5A,yes,singleton,1,631,180,238;203,1.95,X-ray
RED00319,1,4E5X,4E5X,yes,singleton,1,288,180,99,1.95,X-ray
RED00320,1,2AV1,2AV1,yes,singleton,1,189,180,,1.95,X-ray
RED00321,1,2YPK,2YPK,yes,singleton,1,191,180,,1.95,X-ray
RED00322,1,3GSR,3GSR,yes,singleton,1,189,180,,1.95,X-ray
RED00323,1,3HCV,3HCV,yes,singleton,1,189,180,,1.95,X-ray
RED00324,4,3VXN,3VXN,yes,best_resolution,1,190,180,,1.95,X-ray
RED00324,4,3NFN,3VXN,no,best_resolution,2,190,180,,2.392,X-ray
RED00324,4,5HGH,3VXN,no,best_resolution,3,190,180,,2.392,X-ray
RED00324,4,3QZW,3VXN,no,best_resolution,4,190,180,,2.798,X-ray
RED00325,1,7MJ6,7MJ6,yes,singleton,1,189,180,,1.95,X-ray
RED00326,1,7UC5,7UC5,yes,singleton,1,189,180,,1.95,X-ray
RED00327,1,3KPL,3KPL,yes,singleton,1,189,180,,1.96,X-ray
RED00328,2,7L1C,7L1C,yes,best_resolution,1,189,180,,1.96,X-ray
RED00328,2,8VCL,7L1C,no,best_resolution,2,189,180,,2.4,X-ray
RED00329,1,8Z05,8Z05,yes,singleton,1,189,180,,1.96,X-ray
RED00330,1,9NMV,9NMV,yes,singleton,1,626,180,240;197,1.97,X-ray
RED00331,1,8RYN,8RYN,yes,singleton,1,617,180,186;242,1.97,X-ray
RED00332,1,5EU3,5EU3,yes,singleton,1,189,180,,1.97,X-ray
RED00333,1,7LGT,7LGT,yes,singleton,1,189,180,,1.97,X-ray
RED00334,1,5C0C,5C0C,yes,singleton,1,636,180,199;247,1.974,X-ray
RED00335,1,6V3J,6V3J,yes,singleton,1,477,180,288,1.98,X-ray
RED00336,1,9CWY,9CWY,yes,singleton,1,189,180,,1.98,X-ray
RED00337,1,22EE,22EE,yes,singleton,1,189,180,,1.99,X-ray
RED00338,1,3MV7,3MV7,yes,singleton,1,632,180,241;200,2.0,X-ray
RED00339,1,9BL3,9BL3,yes,singleton,1,479,180,289,2.0,X-ray
RED00340,1,5T6Z,5T6Z,yes,singleton,1,473,180,283,2.0,X-ray
RED00341,1,3WUW,3WUW,yes,singleton,1,470,180,281,2.0,X-ray
RED00342,1,9BL5,9BL5,yes,singleton,1,470,180,281,2.0,X-ray
RED00343,1,7K81,7K81,yes,singleton,1,468,180,280,2.0,X-ray
RED00344,1,1A1N,1A1N,yes,singleton,1,188,180,,2.0,X-ray
RED00345,1,1T1Y,1T1Y,yes,singleton,1,189,180,,2.0,X-ray
RED00346,1,2AXG,2AXG,yes,singleton,1,190,180,,2.0,X-ray
RED00347,1,2BSS,2BSS,yes,singleton,1,190,180,,2.0,X-ray
RED00348,1,2BVQ,2BVQ,yes,singleton,1,189,180,,2.0,X-ray
RED00349,1,2CLR,2CLR,yes,singleton,1,190,180,,2.0,X-ray
RED00350,1,2X70,2X70,yes,singleton,1,189,180,,2.0,X-ray
RED00351,1,3GIV,3GIV,yes,singleton,1,190,180,,2.0,X-ray
RED00352,1,3H9H,3H9H,yes,singleton,1,189,180,,2.0,X-ray
RED00353,1,3HPJ,3HPJ,yes,singleton,1,189,180,,2.0,X-ray
RED00354,1,3KPN,3KPN,yes,singleton,1,189,180,,2.0,X-ray
RED00355,1,3LKN,3LKN,yes,singleton,1,189,180,,2.0,X-ray
RED00356,1,3LKR,3LKR,yes,singleton,1,189,180,,2.0,X-ray
RED00357,1,3RL1,3RL1,yes,singleton,1,189,180,,2.0,X-ray
RED00358,1,3V5D,3V5D,yes,singleton,1,189,180,,2.0,X-ray
RED00359,1,3WLB,3WLB,yes,singleton,1,190,180,,2.0,X-ray
RED00360,1,4LNR,4LNR,yes,singleton,1,191,180,,2.0,X-ray
RED00361,1,4NO2,4NO2,yes,singleton,1,192,180,,2.0,X-ray
RED00362,1,4NQX,4NQX,yes,singleton,1,189,180,,2.0,X-ray
RED00363,1,5SWQ,5SWQ,yes,singleton,1,189,180,,2.0,X-ray
RED00364,1,5VUD,5VUD,yes,singleton,1,189,180,,2.0,X-ray
RED00365,1,5VVP,5VVP,yes,singleton,1,189,180,,2.0,X-ray
RED00366,1,5VWJ,5VWJ,yes,singleton,1,189,180,,2.0,X-ray
RED00367,1,5WSH,5WSH,yes,singleton,1,189,180,,2.0,X-ray
RED00368,1,6J1V,6J1V,yes,singleton,1,189,180,,2.0,X-ray
RED00369,1,6VB3,6VB3,yes,singleton,1,189,180,,2.0,X-ray
RED00370,1,7DYN,7DYN,yes,singleton,1,190,180,,2.0,X-ray
RED00371,2,7NUI,7NUI,yes,greatest_mhc_length,1,189,180,,2.0,X-ray
RED00371,2,5WMQ,7NUI,no,greatest_mhc_length,2,188,179,,1.4,X-ray
RED00372,1,7P3E,7P3E,yes,singleton,1,189,180,,2.0,X-ray
RED00373,1,8RHQ,8RHQ,yes,singleton,1,190,180,,2.0,X-ray
RED00374,2,9CX1,9CX1,yes,best_resolution,1,189,180,,2.0,X-ray
RED00374,2,9CX2,9CX1,no,best_resolution,2,189,180,,2.3,X-ray
RED00375,1,9DY8,9DY8,yes,singleton,1,189,180,,2.0,X-ray
RED00376,1,5V5L,5V5L,yes,singleton,1,190,180,,2.002,X-ray
RED00377,1,9NMY,9NMY,yes,singleton,1,626,180,240;197,2.01,X-ray
RED00378,1,6Z9V,6Z9V,yes,singleton,1,189,180,,2.01,X-ray
RED00379,1,8Z08,8Z08,yes,singleton,1,189,180,,2.01,X-ray
RED00380,1,5EU6,5EU6,yes,singleton,1,637,180,244;204,2.02,X-ray
RED00381,1,6AVF,6AVF,yes,singleton,1,637,180,202;242,2.028,X-ray
RED00382,1,5C0B,5C0B,yes,singleton,1,634,180,197;247,2.03,X-ray
RED00383,1,5YXN,5YXN,yes,singleton,1,623,180,241;192,2.03,X-ray
RED00384,1,5HHN,5HHN,yes,singleton,1,189,180,,2.03,X-ray
RED00385,1,9ASG,9ASG,yes,singleton,1,189,180,,2.03,X-ray
RED00386,1,6D2B,6D2B,yes,singleton,1,190,180,,2.04,X-ray
RED00387,1,7L1B,7L1B,yes,singleton,1,189,180,,2.04,X-ray
RED00388,1,8RYO,8RYO,yes,singleton,1,615,180,243;183,2.05,X-ray
RED00389,1,9MIN,9MIN,yes,singleton,1,317,180,128,2.05,X-ray
RED00390,1,2AV7,2AV7,yes,singleton,1,189,180,,2.05,X-ray
RED00391,1,9CWZ,9CWZ,yes,singleton,1,189,180,,2.05,X-ray
RED00392,1,5ISZ,5ISZ,yes,singleton,1,630,180,241;200,2.06,X-ray
RED00393,2,5HGD,5HGD,yes,best_resolution,1,190,180,,2.07,X-ray
RED00393,2,3VXO,5HGD,no,best_resolution,2,190,180,,2.61,X-ray
RED00394,1,8ERX,8ERX,yes,singleton,1,189,180,,2.07,X-ray
RED00395,1,6UZP,6UZP,yes,singleton,1,189,180,,2.08,X-ray
RED00396,1,7S8Q,7S8Q,yes,singleton,1,190,180,,2.08,X-ray
RED00397,1,8TBW,8TBW,yes,singleton,1,189,180,,2.081,X-ray
RED00398,1,7WT5,7WT5,yes,singleton,1,188,180,,2.09507668635,X-ray
RED00399,1,7R7X,7R7X,yes,singleton,1,189,180,,2.099,X-ray
RED00400,1,7Q9A,7Q9A,yes,singleton,1,633,180,199;244,2.1,X-ray
RED00401,1,3MV8,3MV8,yes,singleton,1,633,180,242;200,2.1,X-ray
RED00402,1,6TMO,6TMO,yes,singleton,1,631,180,197;244,2.1,X-ray
RED00403,1,9NMU,9NMU,yes,singleton,1,626,180,240;197,2.1,X-ray
RED00404,1,2F53,2F53,yes,singleton,1,625,180,193;243,2.1,X-ray
RED00405,1,5EUO,5EUO,yes,singleton,1,618,180,239;190,2.1,X-ray
RED00406,1,9BL2,9BL2,yes,singleton,1,479,180,289,2.1,X-ray
RED00407,1,5T70,5T70,yes,singleton,1,478,180,288,2.1,X-ray
RED00408,1,1HSA,1HSA,yes,singleton,1,189,180,,2.1,X-ray
RED00409,1,1JGE,1JGE,yes,singleton,1,189,180,,2.1,X-ray
RED00410,1,2BST,2BST,yes,singleton,1,189,180,,2.1,X-ray
RED00411,5,2X4U,2X4U,yes,best_resolution,1,189,180,,2.1,X-ray
RED00411,5,6EWA,2X4U,no,best_resolution,2,189,180,,2.39,X-ray
RED00411,5,1HHJ,2X4U,no,best_resolution,3,189,180,,2.5,X-ray
RED00411,5,1AKJ,2X4U,no,best_resolution,4,189,180,,2.65,X-ray
RED00411,5,1P7Q,2X4U,no,best_resolution,5,189,180,,3.4,X-ray
RED00412,1,3DTX,3DTX,yes,singleton,1,189,180,,2.1,X-ray
RED00413,1,3DX8,3DX8,yes,singleton,1,190,180,,2.1,X-ray
RED00414,1,3GSX,3GSX,yes,singleton,1,189,180,,2.1,X-ray
RED00415,1,3IXA,3IXA,yes,singleton,1,189,180,,2.1,X-ray
RED00416,1,3L3G,3L3G,yes,singleton,1,189,180,,2.1,X-ray
RED00417,1,3MRI,3MRI,yes,singleton,1,189,180,,2.1,X-ray
RED00418,2,3MRP,3MRP,yes,best_resolution,1,190,180,,2.1,X-ray
RED00418,2,3MRQ,3MRP,no,best_resolution,2,190,180,,2.2,X-ray
RED00419,1,4UQ3,4UQ3,yes,singleton,1,185,180,,2.1,X-ray
RED00420,1,5HHQ,5HHQ,yes,singleton,1,189,180,,2.1,X-ray
RED00421,4,6VB7,6VB7,yes,best_resolution,1,189,180,,2.1,X-ray
RED00421,4,6VB5,6VB7,no,best_resolution,2,189,180,,2.15,X-ray
RED00421,4,6VB6,6VB7,no,best_resolution,3,189,180,,2.15,X-ray
RED00421,4,6UZN,6VB7,no,best_resolution,4,189,180,,2.22,X-ray
RED00422,1,6VPZ,6VPZ,yes,singleton,1,191,180,,2.1,X-ray
RED00423,1,7CIS,7CIS,yes,singleton,1,189,180,,2.1,X-ray
RED00424,1,8V51,8V51,yes,singleton,1,629,180,242;198,2.10000032944,X-ray
RED00425,1,8YIV,8YIV,yes,singleton,1,639,180,202;247,2.101,X-ray
RED00426,1,4NO5,4NO5,yes,singleton,1,189,180,,2.101,X-ray
RED00427,1,5C07,5C07,yes,singleton,1,635,180,246;199,2.11,X-ray
RED00428,1,9NMW,9NMW,yes,singleton,1,626,180,240;197,2.11,X-ray
RED00429,1,8EK5,8EK5,yes,singleton,1,416,180,227,2.11,X-ray
RED00430,1,1W0W,1W0W,yes,singleton,1,189,180,,2.11,X-ray
RED00431,1,4JFO,4JFO,yes,singleton,1,190,180,,2.11,X-ray
RED00432,1,6SSA,6SSA,yes,singleton,1,189,180,,2.11,X-ray
RED00433,1,7EJN,7EJN,yes,singleton,1,189,180,,2.11,X-ray
RED00434,1,7RRG,7RRG,yes,singleton,1,611,180,237;185,2.12,X-ray
RED00435,1,3GSQ,3GSQ,yes,singleton,1,189,180,,2.12,X-ray
RED00436,1,5EU4,5EU4,yes,singleton,1,189,180,,2.12,X-ray
RED00437,1,9PBH,9PBH,yes,singleton,1,637,180,243;205,2.13,X-ray
RED00438,1,5IND,5IND,yes,singleton,1,189,180,,2.132,X-ray
RED00439,1,1W72,1W72,yes,singleton,1,622,180,223;210,2.15,X-ray
RED00440,1,1DUY,1DUY,yes,singleton,1,188,180,,2.15,X-ray
RED00441,1,3X11,3X11,yes,singleton,1,189,180,,2.15,X-ray
RED00442,1,6PTB,6PTB,yes,singleton,1,189,180,,2.15,X-ray
RED00443,1,7KGO,7KGO,yes,singleton,1,189,180,,2.15,X-ray
RED00444,1,3OX8,3OX8,yes,singleton,1,190,180,,2.16,X-ray
RED00445,1,6XQA,6XQA,yes,singleton,1,189,180,,2.16,X-ray
RED00446,1,9J4U,9J4U,yes,singleton,1,624,180,195;240,2.17,X-ray
RED00447,1,7UR1,7UR1,yes,singleton,1,190,180,,2.17,X-ray
RED00448,1,3KWW,3KWW,yes,singleton,1,193,180,,2.18,X-ray
RED00449,1,8XKC,8XKC,yes,singleton,1,189,180,,2.18,X-ray
RED00450,1,9NMX,9NMX,yes,singleton,1,626,180,240;197,2.19,X-ray
RED00451,1,3MGT,3MGT,yes,singleton,1,190,180,,2.197,X-ray
RED00452,2,5HGA,5HGA,yes,best_resolution,1,188,180,,2.199,X-ray
RED00452,2,4WU7,5HGA,no,best_resolution,2,188,180,,2.297,X-ray
RED00453,1,8CX4,8CX4,yes,singleton,1,637,180,206;242,2.2,X-ray
RED00454,1,2P5W,2P5W,yes,singleton,1,623,180,192;242,2.2,X-ray
RED00455,2,7NME,7NME,yes,best_resolution,1,620,180,191;240,2.2,X-ray
RED00455,2,7NMF,7NME,no,best_resolution,2,623,180,194;240,2.98,X-ray
RED00456,1,1IM3,1IM3,yes,singleton,1,284,180,95,2.2,X-ray
RED00457,1,1I1Y,1I1Y,yes,singleton,1,189,180,,2.2,X-ray
RED00458,1,1I7R,1I7R,yes,singleton,1,189,180,,2.2,X-ray
RED00459,2,1OF2,1OF2,yes,best_resolution,1,189,180,,2.2,X-ray
RED00459,2,5IB5,1OF2,no,best_resolution,2,189,180,,2.49,X-ray
RED00460,1,1QEW,1QEW,yes,singleton,1,189,180,,2.2,X-ray
RED00461,1,1S8D,1S8D,yes,singleton,1,189,180,,2.2,X-ray
RED00462,1,1S9W,1S9W,yes,singleton,1,189,180,,2.2,X-ray
RED00463,1,1T1X,1T1X,yes,singleton,1,189,180,,2.2,X-ray
RED00464,1,3BHB,3BHB,yes,singleton,1,190,180,,2.2,X-ray
RED00465,1,7MLE,7MLE,yes,singleton,1,189,180,,2.2,X-ray
RED00466,1,8I5E,8I5E,yes,singleton,1,189,180,,2.2,X-ray
RED00467,1,3I6G,3I6G,yes,singleton,1,189,180,,2.201,X-ray
RED00468,1,9EIQ,9EIQ,yes,singleton,1,189,180,,2.21,X-ray
RED00469,1,1QVO,1QVO,yes,singleton,1,190,180,,2.22,X-ray
RED00470,1,6APN,6APN,yes,singleton,1,192,180,,2.22,X-ray
RED00471,1,6SS8,6SS8,yes,singleton,1,189,180,,2.24,X-ray
RED00472,1,1EEY,1EEY,yes,singleton,1,189,180,,2.25,X-ray
RED00473,1,6UJO,6UJO,yes,singleton,1,189,180,,2.25,X-ray
RED00474,1,6VQ2,6VQ2,yes,singleton,1,190,180,,2.25,X-ray
RED00475,1,6VQZ,6VQZ,yes,singleton,1,187,180,,2.25,X-ray
RED00476,1,7NMD,7NMD,yes,singleton,1,189,180,,2.25,X-ray
RED00477,1,8YJ2,8YJ2,yes,singleton,1,637,180,202;245,2.261,X-ray
RED00478,1,9O5S,9O5S,yes,singleton,1,292,180,102,2.27,X-ray
RED00479,1,1W0V,1W0V,yes,singleton,1,189,180,,2.27,X-ray
RED00480,1,5MEQ,5MEQ,yes,singleton,1,189,180,,2.27,X-ray
RED00481,1,7N2R,7N2R,yes,singleton,1,626,180,242;195,2.28,X-ray
RED00482,1,3QFJ,3QFJ,yes,singleton,1,634,180,200;245,2.29,X-ray
RED00483,1,5WWJ,5WWJ,yes,singleton,1,186,180,,2.29,X-ray
RED00484,1,5WXC,5WXC,yes,singleton,1,185,180,,2.295,X-ray
RED00485,1,3MGO,3MGO,yes,singleton,1,190,180,,2.297,X-ray
RED00486,1,7N1E,7N1E,yes,singleton,1,632,180,243;200,2.3,X-ray
RED00487,1,7N2O,7N2O,yes,singleton,1,632,180,241;202,2.3,X-ray
RED00488,1,4JRX,4JRX,yes,singleton,1,635,180,238;204,2.3,X-ray
RED00489,1,3QDJ,3QDJ,yes,singleton,1,630,180,242;199,2.3,X-ray
RED00490,1,6R2L,6R2L,yes,singleton,1,630,180,247;194,2.3,X-ray
RED00491,1,9ZCL,9ZCL,yes,singleton,1,630,180,204;236,2.3,X-ray
RED00492,1,2VLR,2VLR,yes,singleton,1,628,180,240;199,2.3,X-ray
RED00493,1,2PYE,2PYE,yes,singleton,1,626,180,242;195,2.3,X-ray
RED00494,1,7TR4,7TR4,yes,singleton,1,615,180,214;211,2.3,X-ray
RED00495,1,5B38,5B38,yes,singleton,1,462,180,273,2.3,X-ray
RED00496,1,9DL1,9DL1,yes,singleton,1,431,180,124;118,2.3,X-ray
RED00497,1,1A1M,1A1M,yes,singleton,1,189,180,,2.3,X-ray
RED00498,1,1A1O,1A1O,yes,singleton,1,189,180,,2.3,X-ray
RED00499,1,1EEZ,1EEZ,yes,singleton,1,189,180,,2.3,X-ray
RED00500,1,1S9Y,1S9Y,yes,singleton,1,189,180,,2.3,X-ray
RED00501,1,1XR8,1XR8,yes,singleton,1,189,180,,2.3,X-ray
RED00502,1,2BSR,2BSR,yes,singleton,1,189,180,,2.3,X-ray
RED00503,1,2X4O,2X4O,yes,singleton,1,189,180,,2.3,X-ray
RED00504,1,2X4T,2X4T,yes,singleton,1,188,180,,2.3,X-ray
RED00505,1,3KPO,3KPO,yes,singleton,1,189,180,,2.3,X-ray
RED00506,1,3MRF,3MRF,yes,singleton,1,189,180,,2.3,X-ray
RED00507,1,3MRN,3MRN,yes,singleton,1,190,180,,2.3,X-ray
RED00508,1,3VFW,3VFW,yes,singleton,1,193,180,,2.3,X-ray
RED00509,1,5GSD,5GSD,yes,singleton,1,187,180,,2.3,X-ray
RED00510,1,6EWO,6EWO,yes,singleton,1,189,180,,2.3,X-ray
RED00511,4,7LG0,7LG0,yes,best_resolution,1,189,180,,2.3,X-ray
RED00511,4,7LGD,7LG0,no,best_resolution,2,189,180,,2.88,X-ray
RED00511,4,9J4V,7LG0,no,best_resolution,3,188,179,,1.98,X-ray
RED00511,4,9J4S,7LG0,no,best_resolution,4,186,177,,2.95,X-ray
RED00512,1,7LG3,7LG3,yes,singleton,1,189,180,,2.3,X-ray
RED00513,1,7TLT,7TLT,yes,singleton,1,189,180,,2.3,X-ray
RED00514,1,8K4T,8K4T,yes,singleton,1,190,180,,2.3,X-ray
RED00515,2,8RJI,8RJI,yes,best_resolution,1,189,180,,2.3,X-ray
RED00515,2,8Z07,8RJI,no,best_resolution,2,189,180,,2.7,X-ray
RED00516,1,3V5K,3V5K,yes,singleton,1,189,180,,2.31,X-ray
RED00517,1,8XFZ,8XFZ,yes,singleton,1,189,180,,2.32,X-ray
RED00518,1,5C08,5C08,yes,singleton,1,623,180,189;244,2.332,X-ray
RED00519,2,6VB4,6VB4,yes,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length,1,189,180,,2.334,X-ray
RED00519,2,6VIU,6VB4,no,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length,2,189,180,,2.334,X-ray
RED00520,1,8RYM,8RYM,yes,singleton,1,605,180,238;178,2.34,X-ray
RED00521,1,2X4N,2X4N,yes,singleton,1,186,180,,2.34,X-ray
RED00522,1,4GKS,4GKS,yes,singleton,1,190,180,,2.346,X-ray
RED00523,1,6D78,6D78,yes,singleton,1,614,180,240;185,2.347,X-ray
RED00524,1,6UZO,6UZO,yes,singleton,1,189,180,,2.349,X-ray
RED00525,1,3MRO,3MRO,yes,singleton,1,190,180,,2.35,X-ray
RED00526,1,7M8S,7M8S,yes,singleton,1,190,180,,2.35,X-ray
RED00527,1,7SR5,7SR5,yes,singleton,1,192,180,,2.35,X-ray
RED00528,1,8YZW,8YZW,yes,singleton,1,189,180,,2.36,X-ray
RED00529,1,7N2S,7N2S,yes,singleton,1,609,180,239;181,2.37,X-ray
RED00530,1,6VR1,6VR1,yes,singleton,1,189,180,,2.37,X-ray
RED00531,2,6VR5,6VR5,yes,best_resolution,1,189,180,,2.38,X-ray
RED00531,2,6W51,6VR5,no,best_resolution,2,189,180,,3.53,X-ray
RED00532,1,3RL2,3RL2,yes,singleton,1,190,180,,2.386,X-ray
RED00533,1,4NQV,4NQV,yes,singleton,1,189,180,,2.39,X-ray
RED00534,1,8Z06,8Z06,yes,singleton,1,189,180,,2.39,X-ray
RED00535,1,7N1F,7N1F,yes,singleton,1,626,180,197;240,2.393,X-ray
RED00536,1,6AM5,6AM5,yes,singleton,1,621,180,242;189,2.394,X-ray
RED00537,1,6UZQ,6UZQ,yes,singleton,1,189,180,,2.395,X-ray
RED00538,1,4HWZ,4HWZ,yes,singleton,1,189,180,,2.397,X-ray
RED00539,1,4G8G,4G8G,yes,singleton,1,642,180,248;204,2.4,X-ray
RED00540,1,4PRI,4PRI,yes,singleton,1,633,180,202;240,2.4,X-ray
RED00541,1,5BS0,5BS0,yes,singleton,1,627,180,241;197,2.4,X-ray
RED00542,1,2YPL,2YPL,yes,singleton,1,628,180,199;238,2.4,X-ray
RED00543,1,3VXR,3VXR,yes,singleton,1,626,180,194;242,2.4,X-ray
RED00544,1,7K80,7K80,yes,singleton,1,478,180,290,2.4,X-ray
RED00545,1,9D96,9D96,yes,singleton,1,479,180,289,2.4,X-ray
RED00546,1,9BL6,9BL6,yes,singleton,1,455,180,266,2.4,X-ray
RED00547,2,1Q94,1Q94,yes,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length,1,189,180,,2.4,X-ray
RED00547,2,6ID4,1Q94,no,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length,2,189,180,,2.4,X-ray
RED00548,1,1QR1,1QR1,yes,singleton,1,189,180,,2.4,X-ray
RED00549,1,1SYS,1SYS,yes,singleton,1,189,180,,2.4,X-ray
RED00550,1,3I6L,3I6L,yes,singleton,1,189,180,,2.4,X-ray
RED00551,1,3L3J,3L3J,yes,singleton,1,189,180,,2.4,X-ray
RED00552,1,3MRH,3MRH,yes,singleton,1,189,180,,2.4,X-ray
RED00553,1,4F7M,4F7M,yes,singleton,1,190,180,,2.4,X-ray
RED00554,2,4WU5,4WU5,yes,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length,1,188,180,,2.4,X-ray
RED00554,2,5HGB,4WU5,no,pdb_id_tiebreak_same_mhc_same_resolution_and_binder_length,2,188,180,,2.4,X-ray
RED00555,1,7LG2,7LG2,yes,singleton,1,189,180,,2.4,X-ray
RED00556,1,8UTC,8UTC,yes,singleton,1,189,180,,2.4,X-ray
RED00557,1,4MJ5,4MJ5,yes,singleton,1,191,180,,2.401,X-ray
RED00558,1,6VM7,6VM7,yes,singleton,1,627,180,241;197,2.41,X-ray
RED00559,1,6VM8,6VM8,yes,singleton,1,626,180,241;196,2.41,X-ray
RED00560,1,3MRL,3MRL,yes,singleton,1,189,180,,2.41,X-ray
RED00561,1,4JFF,4JFF,yes,singleton,1,632,180,197;245,2.43,X-ray
RED00562,1,4UQ2,4UQ2,yes,singleton,1,186,180,,2.43,X-ray
RED00563,1,6G3J,6G3J,yes,singleton,1,190,180,,2.45,X-ray
RED00564,1,5C0A,5C0A,yes,singleton,1,633,180,246;197,2.46,X-ray
RED00565,1,4JFD,4JFD,yes,singleton,1,631,180,196;245,2.46,X-ray
RED00566,1,5JHD,5JHD,yes,singleton,1,629,180,239;201,2.46,X-ray
RED00567,1,6VRN,6VRN,yes,singleton,1,619,180,242;188,2.46,X-ray
RED00568,1,5C09,5C09,yes,singleton,1,631,180,197;244,2.475,X-ray
RED00569,1,7NMG,7NMG,yes,singleton,1,621,180,192;240,2.48,X-ray
RED00570,1,8ISN,8ISN,yes,singleton,1,189,180,,2.48,X-ray
RED00571,1,8RYQ,8RYQ,yes,singleton,1,616,180,241;186,2.49,X-ray
RED00572,1,7SR3,7SR3,yes,singleton,1,194,180,,2.49,X-ray
RED00573,1,8RNI,8RNI,yes,singleton,1,190,180,,2.49,X-ray
RED00574,1,6AMT,6AMT,yes,singleton,1,190,180,,2.496,X-ray
RED00575,1,5JZI,5JZI,yes,singleton,1,637,180,240;207,2.5,X-ray
RED00576,1,2AK4,2AK4,yes,singleton,1,638,180,241;204,2.5,X-ray
RED00577,1,3VXM,3VXM,yes,singleton,1,631,180,198;243,2.5,X-ray
RED00578,1,4PRP,4PRP,yes,singleton,1,632,180,241;200,2.5,X-ray
RED00579,1,7N2P,7N2P,yes,singleton,1,627,180,241;197,2.5,X-ray
RED00580,1,5HHM,5HHM,yes,singleton,1,623,180,240;194,2.5,X-ray
RED00581,1,9YTD,9YTD,yes,singleton,1,623,180,216;218,2.5,EM
RED00582,1,6RPB,6RPB,yes,singleton,1,622,180,194;239,2.5,X-ray
RED00583,1,1BD2,1BD2,yes,singleton,1,621,180,242;190,2.5,X-ray
RED00584,1,5B39,5B39,yes,singleton,1,466,180,277,2.5,X-ray
RED00585,1,4N8V,4N8V,yes,singleton,1,379,180,190,2.5,X-ray
RED00586,2,1A9E,1A9E,yes,best_resolution,1,189,180,,2.5,X-ray
RED00586,2,1A9B,1A9E,no,best_resolution,2,189,180,,3.2,X-ray
RED00587,1,1B0G,1B0G,yes,singleton,1,189,180,,2.5,X-ray
RED00588,1,1S9X,1S9X,yes,singleton,1,189,180,,2.5,X-ray
RED00589,1,2RFX,2RFX,yes,singleton,1,189,180,,2.5,X-ray
RED00590,1,3VXP,3VXP,yes,singleton,1,190,180,,2.5,X-ray
RED00591,1,6SS7,6SS7,yes,singleton,1,189,180,,2.5,X-ray
RED00592,1,7Q98,7Q98,yes,singleton,1,190,180,,2.5,X-ray
RED00593,1,7SRK,7SRK,yes,singleton,1,189,180,,2.5,X-ray
RED00594,1,9XJD,9XJD,yes,singleton,1,190,180,,2.5,X-ray
RED00595,1,5IM7,5IM7,yes,singleton,1,189,180,,2.502,X-ray
RED00596,1,5E9D,5E9D,yes,singleton,1,415,180,115;110,2.51,X-ray
RED00597,1,5F9J,5F9J,yes,singleton,1,189,180,,2.51,X-ray
RED00598,1,7SQP,7SQP,yes,singleton,1,193,180,,2.53,X-ray
RED00599,1,3O4L,3O4L,yes,singleton,1,629,180,245;195,2.54,X-ray
RED00600,1,7RK7,7RK7,yes,singleton,1,625,180,247;189,2.54,X-ray
RED00601,1,7SR0,7SR0,yes,singleton,1,191,180,,2.54,X-ray
RED00602,1,7RE7,7RE7,yes,singleton,1,618,180,218;211,2.547,X-ray
RED00603,1,7Q99,7Q99,yes,singleton,1,632,180,198;244,2.55,X-ray
RED00604,1,2X4S,2X4S,yes,singleton,1,189,180,,2.55,X-ray
RED00605,1,3BVN,3BVN,yes,singleton,1,189,180,,2.55,X-ray
RED00606,1,6UJQ,6UJQ,yes,singleton,1,189,180,,2.55,X-ray
