[CONFIG] STEP6.1
STEP1_CSV:             /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step1/pdb/pdb_assemblies.csv | exists=True
STEP5_REMAP_CSV:       /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/pdb_assemblies_remapped.csv | exists=True
STEP5_CHAIN_MAP_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/chain_map.csv | exists=True
STEP5_PDB_DIR:         /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/1_mhc_configured | exists=True
ORIGINAL_LIST_CSV:     /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_list.csv | exists=True
ORIGINAL_CONTACTS_CSV: /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_mhc_contacts.csv | exists=True
ORIGINAL_BINDER_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_binder_contacts.csv | exists=True
MANUAL_LIGANDS_CSV:    /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/manual_problematic_ligands.csv | exists=True
POSSIBLE_LIGANDS_CSV:  /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/possible_ligands.csv | exists=True
Output dir:            /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/2_trimmed_mhc

[INIT] problematic_list_current.csv
[INIT] problematic_mhc_contacts_current.csv
[INIT] problematic_binder_contacts_current.csv
[CSV] remapped=      1173
[CSV] duplicate_pdbs= 9
[CSV] problematic=   165
[CSV] mhc_contacts=  164
[CSV] binder_auto=   5
[CSV] manual_rows=   22

[START] STEP6.1
[SAVED] 8RLV: non-problematic trimmed; trimmed_removed=134; output=8rlv_trimmed_mhc.pdb
[SAVED] 4NO5: non-problematic trimmed; trimmed_removed=288; output=4no5_trimmed_mhc.pdb
[SAVED] 5HYJ: non-problematic trimmed; trimmed_removed=108; output=5hyj_trimmed_mhc.pdb
[SAVED] 5W69: non-problematic trimmed; trimmed_removed=277; output=5w69_trimmed_mhc.pdb
[SAVED] 6ID4: non-problematic trimmed; trimmed_removed=282; output=6id4_trimmed_mhc.pdb
[SAVED] 7MKB: non-problematic trimmed; trimmed_removed=320; output=7mkb_trimmed_mhc.pdb
[SAVED] 8EB2: non-problematic trimmed; trimmed_removed=95; output=8eb2_trimmed_mhc.pdb
[SAVED] 7NMF: non-problematic trimmed; trimmed_removed=109; output=7nmf_trimmed_mhc.pdb
[SAVED] 8DVG: non-problematic trimmed; trimmed_removed=177; output=8dvg_trimmed_mhc.pdb
[SAVED] 8GON: non-problematic trimmed; trimmed_removed=130; output=8gon_trimmed_mhc.pdb
[SAVED] 7OW4: non-problematic trimmed; trimmed_removed=241; output=7ow4_trimmed_mhc.pdb
[SAVED] 7P3D: non-problematic trimmed; trimmed_removed=396; output=7p3d_trimmed_mhc.pdb
[SAVED] 7P3E: non-problematic trimmed; trimmed_removed=164; output=7p3e_trimmed_mhc.pdb
[SAVED] 6JOZ: non-problematic trimmed; trimmed_removed=464; output=6joz_trimmed_mhc.pdb
[MHC_MANUAL] 1HSB: moved ligand groups to chains=['D']
[SAVED] 1HSB: action=move; new_ligand_chains=['D']; moved=2; trimmed_removed=294; output=1hsb_trimmed_mhc.pdb
[SAVED] 3MGO: non-problematic trimmed; trimmed_removed=276; output=3mgo_trimmed_mhc.pdb
[SAVED] 8RLU: non-problematic trimmed; trimmed_removed=158; output=8rlu_trimmed_mhc.pdb
[SAVED] 6GH1: non-problematic trimmed; trimmed_removed=210; output=6gh1_trimmed_mhc.pdb
[SAVED] 5V5L: non-problematic trimmed; trimmed_removed=279; output=5v5l_trimmed_mhc.pdb
[SAVED] 4N8V: non-problematic trimmed; trimmed_removed=114; output=4n8v_trimmed_mhc.pdb
[SAVED] 3H9H: non-problematic trimmed; trimmed_removed=271; output=3h9h_trimmed_mhc.pdb
[SAVED] 6AMT: non-problematic trimmed; trimmed_removed=124; output=6amt_trimmed_mhc.pdb
[SAVED] 1I7T: non-problematic trimmed; trimmed_removed=95; output=1i7t_trimmed_mhc.pdb
[SAVED] 1HHI: non-problematic trimmed; trimmed_removed=95; output=1hhi_trimmed_mhc.pdb
[SAVED] 7S8E: non-problematic trimmed; trimmed_removed=468; output=7s8e_trimmed_mhc.pdb
[SAVED] 4JFE: non-problematic trimmed; trimmed_removed=114; output=4jfe_trimmed_mhc.pdb
[SAVED] 7PB2: non-problematic trimmed; trimmed_removed=95; output=7pb2_trimmed_mhc.pdb
[SAVED] 3NFN: non-problematic trimmed; trimmed_removed=245; output=3nfn_trimmed_mhc.pdb
[SAVED] 5HGH: non-problematic trimmed; trimmed_removed=244; output=5hgh_trimmed_mhc.pdb
[SAVED] 5T6Y: non-problematic trimmed; trimmed_removed=331; output=5t6y_trimmed_mhc.pdb
[SAVED] 5VUE: non-problematic trimmed; trimmed_removed=493; output=5vue_trimmed_mhc.pdb
[SAVED] 7MJ7: non-problematic trimmed; trimmed_removed=380; output=7mj7_trimmed_mhc.pdb
[SAVED] 8I5C: non-problematic trimmed; trimmed_removed=94; output=8i5c_trimmed_mhc.pdb
[SAVED] 7S7D: non-problematic trimmed; trimmed_removed=463; output=7s7d_trimmed_mhc.pdb
[SAVED] 5WKF: non-problematic trimmed; trimmed_removed=154; output=5wkf_trimmed_mhc.pdb
[SAVED] 4NQX: non-problematic trimmed; trimmed_removed=210; output=4nqx_trimmed_mhc.pdb
[SAVED] 6J29: non-problematic trimmed; trimmed_removed=394; output=6j29_trimmed_mhc.pdb
[SAVED] 4PRN: non-problematic trimmed; trimmed_removed=462; output=4prn_trimmed_mhc.pdb
[SAVED] 5HHM: non-problematic trimmed; trimmed_removed=141; output=5hhm_trimmed_mhc.pdb
[SAVED] 3OXR: non-problematic trimmed; trimmed_removed=419; output=3oxr_trimmed_mhc.pdb
[SAVED] 7MJ9: non-problematic trimmed; trimmed_removed=332; output=7mj9_trimmed_mhc.pdb
[SAVED] 6JTP: non-problematic trimmed; trimmed_removed=465; output=6jtp_trimmed_mhc.pdb
[SAVED] 5VUF: non-problematic trimmed; trimmed_removed=518; output=5vuf_trimmed_mhc.pdb
[SAVED] 5T6X: non-problematic trimmed; trimmed_removed=232; output=5t6x_trimmed_mhc.pdb
[SAVED] 5C07: non-problematic trimmed; trimmed_removed=188; output=5c07_trimmed_mhc.pdb
[SAVED] 3GJF: non-problematic trimmed; trimmed_removed=385; output=3gjf_trimmed_mhc.pdb
[SAVED] 7LGD: non-problematic trimmed; trimmed_removed=112; output=7lgd_trimmed_mhc.pdb
[SAVED] 5BRZ: non-problematic trimmed; trimmed_removed=106; output=5brz_trimmed_mhc.pdb
[SAVED] 5C0C: non-problematic trimmed; trimmed_removed=186; output=5c0c_trimmed_mhc.pdb
[SAVED] 8ISN: non-problematic trimmed; trimmed_removed=176; output=8isn_trimmed_mhc.pdb
[SAVED] 3VFN: non-problematic trimmed; trimmed_removed=462; output=3vfn_trimmed_mhc.pdb
[SAVED] 7KGT: non-problematic trimmed; trimmed_removed=395; output=7kgt_trimmed_mhc.pdb
[SAVED] 3O4L: non-problematic trimmed; trimmed_removed=207; output=3o4l_trimmed_mhc.pdb
[SAVED] 5W1W: non-problematic trimmed; trimmed_removed=94; output=5w1w_trimmed_mhc.pdb
[SAVED] 2X70: non-problematic trimmed; trimmed_removed=327; output=2x70_trimmed_mhc.pdb
[SAVED] 6Z9X: non-problematic trimmed; trimmed_removed=115; output=6z9x_trimmed_mhc.pdb
[SAVED] 2BVO: non-problematic trimmed; trimmed_removed=471; output=2bvo_trimmed_mhc.pdb
[SAVED] 3GSO: non-problematic trimmed; trimmed_removed=407; output=3gso_trimmed_mhc.pdb
[SAVED] 6P64: non-problematic trimmed; trimmed_removed=103; output=6p64_trimmed_mhc.pdb
[SAVED] 6P2C: non-problematic trimmed; trimmed_removed=331; output=6p2c_trimmed_mhc.pdb
[SAVED] 4XXC: non-problematic trimmed; trimmed_removed=470; output=4xxc_trimmed_mhc.pdb
[SAVED] 7S8A: non-problematic trimmed; trimmed_removed=295; output=7s8a_trimmed_mhc.pdb
[SAVED] 9BL6: non-problematic trimmed; trimmed_removed=104; output=9bl6_trimmed_mhc.pdb
[SAVED] 6SSA: non-problematic trimmed; trimmed_removed=296; output=6ssa_trimmed_mhc.pdb
[SAVED] 8TBW: non-problematic trimmed; trimmed_removed=295; output=8tbw_trimmed_mhc.pdb
[SAVED] 3VFP: non-problematic trimmed; trimmed_removed=443; output=3vfp_trimmed_mhc.pdb
[SAVED] 7OW5: non-problematic trimmed; trimmed_removed=102; output=7ow5_trimmed_mhc.pdb
[SAVED] 2VLL: non-problematic trimmed; trimmed_removed=480; output=2vll_trimmed_mhc.pdb
[SAVED] 7JYV: non-problematic trimmed; trimmed_removed=519; output=7jyv_trimmed_mhc.pdb
[SAVED] 3MRB: non-problematic trimmed; trimmed_removed=379; output=3mrb_trimmed_mhc.pdb
[SAVED] 5SWQ: non-problematic trimmed; trimmed_removed=391; output=5swq_trimmed_mhc.pdb
[SAVED] 8RBU: non-problematic trimmed; trimmed_removed=121; output=8rbu_trimmed_mhc.pdb
[SAVED] 3PWL: non-problematic trimmed; trimmed_removed=459; output=3pwl_trimmed_mhc.pdb
[SAVED] 3X13: non-problematic trimmed; trimmed_removed=435; output=3x13_trimmed_mhc.pdb
[SAVED] 2X4S: non-problematic trimmed; trimmed_removed=154; output=2x4s_trimmed_mhc.pdb
[SAVED] 4G8G: non-problematic trimmed; trimmed_removed=218; output=4g8g_trimmed_mhc.pdb
[SAVED] 3IXA: non-problematic trimmed; trimmed_removed=169; output=3ixa_trimmed_mhc.pdb
[SAVED] 7PBC: non-problematic trimmed; trimmed_removed=218; output=7pbc_trimmed_mhc.pdb
[SAVED] 6RP9: non-problematic trimmed; trimmed_removed=95; output=6rp9_trimmed_mhc.pdb
[SAVED] 7WJ3: non-problematic trimmed; trimmed_removed=256; output=7wj3_trimmed_mhc.pdb
[SAVED] 7T5M: non-problematic trimmed; trimmed_removed=491; output=7t5m_trimmed_mhc.pdb
[SAVED] 3VFU: non-problematic trimmed; trimmed_removed=472; output=3vfu_trimmed_mhc.pdb
[SAVED] 6Q3S: non-problematic trimmed; trimmed_removed=100; output=6q3s_trimmed_mhc.pdb
[SAVED] 1A1N: non-problematic trimmed; trimmed_removed=371; output=1a1n_trimmed_mhc.pdb
[SAVED] 5HHO: non-problematic trimmed; trimmed_removed=96; output=5hho_trimmed_mhc.pdb
[SAVED] 4JQV: non-problematic trimmed; trimmed_removed=413; output=4jqv_trimmed_mhc.pdb
[SAVED] 6UJ8: non-problematic trimmed; trimmed_removed=160; output=6uj8_trimmed_mhc.pdb
[SAVED] 8F5A: non-problematic trimmed; trimmed_removed=286; output=8f5a_trimmed_mhc.pdb
[SAVED] 3LN4: non-problematic trimmed; trimmed_removed=539; output=3ln4_trimmed_mhc.pdb
[SAVED] 4MNQ: non-problematic trimmed; trimmed_removed=109; output=4mnq_trimmed_mhc.pdb
[SAVED] 7R7X: non-problematic trimmed; trimmed_removed=320; output=7r7x_trimmed_mhc.pdb
[SAVED] 6VB2: non-problematic trimmed; trimmed_removed=468; output=6vb2_trimmed_mhc.pdb
[SAVED] 8XG2: non-problematic trimmed; trimmed_removed=287; output=8xg2_trimmed_mhc.pdb
[SAVED] 6R2L: non-problematic trimmed; trimmed_removed=246; output=6r2l_trimmed_mhc.pdb
[SAVED] 8SBK: non-problematic trimmed; trimmed_removed=393; output=8sbk_trimmed_mhc.pdb
[SAVED] 4WUU: non-problematic trimmed; trimmed_removed=95; output=4wuu_trimmed_mhc.pdb
[SAVED] 5E00: non-problematic trimmed; trimmed_removed=453; output=5e00_trimmed_mhc.pdb
[SAVED] 5FA4: non-problematic trimmed; trimmed_removed=152; output=5fa4_trimmed_mhc.pdb
[SAVED] 8E8I: non-problematic trimmed; trimmed_removed=496; output=8e8i_trimmed_mhc.pdb
[SAVED] 6MT6: non-problematic trimmed; trimmed_removed=563; output=6mt6_trimmed_mhc.pdb
[SAVED] 3MRQ: non-problematic trimmed; trimmed_removed=181; output=3mrq_trimmed_mhc.pdb
[SAVED] 8TUH: non-problematic trimmed; trimmed_removed=160; output=8tuh_trimmed_mhc.pdb
[SAVED] 1W72: non-problematic trimmed; trimmed_removed=236; output=1w72_trimmed_mhc.pdb
[SAVED] 6G3J: non-problematic trimmed; trimmed_removed=102; output=6g3j_trimmed_mhc.pdb
[SAVED] 8SHI: non-problematic trimmed; trimmed_removed=95; output=8shi_trimmed_mhc.pdb
[SAVED] 6O4Z: non-problematic trimmed; trimmed_removed=298; output=6o4z_trimmed_mhc.pdb
[SAVED] 2VLK: non-problematic trimmed; trimmed_removed=171; output=2vlk_trimmed_mhc.pdb
[SAVED] 2P5E: non-problematic trimmed; trimmed_removed=338; output=2p5e_trimmed_mhc.pdb
[SAVED] 4O2E: non-problematic trimmed; trimmed_removed=394; output=4o2e_trimmed_mhc.pdb
[SAVED] 7LGT: non-problematic trimmed; trimmed_removed=228; output=7lgt_trimmed_mhc.pdb
[SAVED] 6O4Y: non-problematic trimmed; trimmed_removed=325; output=6o4y_trimmed_mhc.pdb
[SAVED] 3PWN: non-problematic trimmed; trimmed_removed=372; output=3pwn_trimmed_mhc.pdb
[SAVED] 4LCY: non-problematic trimmed; trimmed_removed=500; output=4lcy_trimmed_mhc.pdb
[SAVED] 6PTE: non-problematic trimmed; trimmed_removed=345; output=6pte_trimmed_mhc.pdb
[SAVED] 5C08: non-problematic trimmed; trimmed_removed=134; output=5c08_trimmed_mhc.pdb
[SAVED] 5E9D: non-problematic trimmed; trimmed_removed=97; output=5e9d_trimmed_mhc.pdb
[SAVED] 5HHP: non-problematic trimmed; trimmed_removed=415; output=5hhp_trimmed_mhc.pdb
[SAVED] 2GJ6: non-problematic trimmed; trimmed_removed=138; output=2gj6_trimmed_mhc.pdb
[SAVED] 3MRM: non-problematic trimmed; trimmed_removed=306; output=3mrm_trimmed_mhc.pdb
[SAVED] 6RSY: non-problematic trimmed; trimmed_removed=124; output=6rsy_trimmed_mhc.pdb
[SAVED] 6TRO: non-problematic trimmed; trimmed_removed=98; output=6tro_trimmed_mhc.pdb
[SAVED] 8XES: non-problematic trimmed; trimmed_removed=280; output=8xes_trimmed_mhc.pdb
[SAVED] 4PRA: non-problematic trimmed; trimmed_removed=390; output=4pra_trimmed_mhc.pdb
[SAVED] 8FU4: non-problematic trimmed; trimmed_removed=440; output=8fu4_trimmed_mhc.pdb
[SAVED] 6BXP: non-problematic trimmed; trimmed_removed=526; output=6bxp_trimmed_mhc.pdb
[SAVED] 3HPJ: non-problematic trimmed; trimmed_removed=240; output=3hpj_trimmed_mhc.pdb
[SAVED] 2DYP: non-problematic trimmed; trimmed_removed=140; output=2dyp_trimmed_mhc.pdb
[SAVED] 3O3E: non-problematic trimmed; trimmed_removed=293; output=3o3e_trimmed_mhc.pdb
[SAVED] 3V5H: non-problematic trimmed; trimmed_removed=406; output=3v5h_trimmed_mhc.pdb
[SAVED] 5WKH: non-problematic trimmed; trimmed_removed=94; output=5wkh_trimmed_mhc.pdb
[SAVED] 3SJV: non-problematic trimmed; trimmed_removed=98; output=3sjv_trimmed_mhc.pdb
[SAVED] 3BXN: non-problematic trimmed; trimmed_removed=503; output=3bxn_trimmed_mhc.pdb
[SAVED] 6O9C: non-problematic trimmed; trimmed_removed=143; output=6o9c_trimmed_mhc.pdb
[SKIPPED] 7BH8: already present in 2_trimmed_mhc
[SAVED] 3BH8: non-problematic trimmed; trimmed_removed=364; output=3bh8_trimmed_mhc.pdb
[SAVED] 8I5E: non-problematic trimmed; trimmed_removed=180; output=8i5e_trimmed_mhc.pdb
[MHC_AUTO] 3VRJ: [276] -> chain D
[SAVED] 3VRJ: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=386; output=3vrj_trimmed_mhc.pdb
[SAVED] 5WMP: non-problematic trimmed; trimmed_removed=489; output=5wmp_trimmed_mhc.pdb
[SAVED] 1I1F: non-problematic trimmed; trimmed_removed=95; output=1i1f_trimmed_mhc.pdb
[SAVED] 6TRN: non-problematic trimmed; trimmed_removed=428; output=6trn_trimmed_mhc.pdb
[SAVED] 3VFV: non-problematic trimmed; trimmed_removed=499; output=3vfv_trimmed_mhc.pdb
[SAVED] 8TBV: non-problematic trimmed; trimmed_removed=169; output=8tbv_trimmed_mhc.pdb
[SAVED] 6SS9: non-problematic trimmed; trimmed_removed=113; output=6ss9_trimmed_mhc.pdb
[SAVED] 8U9G: non-problematic trimmed; trimmed_removed=115; output=8u9g_trimmed_mhc.pdb
[SAVED] 5MEN: non-problematic trimmed; trimmed_removed=125; output=5men_trimmed_mhc.pdb
[SAVED] 5WMN: non-problematic trimmed; trimmed_removed=380; output=5wmn_trimmed_mhc.pdb
[SAVED] 7WT5: non-problematic trimmed; trimmed_removed=304; output=7wt5_trimmed_mhc.pdb
[SAVED] 3D39: non-problematic trimmed; trimmed_removed=113; output=3d39_trimmed_mhc.pdb
[SAVED] 7L1C: non-problematic trimmed; trimmed_removed=336; output=7l1c_trimmed_mhc.pdb
[SAVED] 5IRO: non-problematic trimmed; trimmed_removed=87; output=5iro_trimmed_mhc.pdb
[SAVED] 6V2P: non-problematic trimmed; trimmed_removed=479; output=6v2p_trimmed_mhc.pdb
[SAVED] 1S9W: non-problematic trimmed; trimmed_removed=247; output=1s9w_trimmed_mhc.pdb
[SAVED] 5N6B: non-problematic trimmed; trimmed_removed=351; output=5n6b_trimmed_mhc.pdb
[SAVED] 6VMA: non-problematic trimmed; trimmed_removed=111; output=6vma_trimmed_mhc.pdb
[SAVED] 7WZZ: non-problematic trimmed; trimmed_removed=574; output=7wzz_trimmed_mhc.pdb
[SAVED] 3LN5: non-problematic trimmed; trimmed_removed=271; output=3ln5_trimmed_mhc.pdb
[SAVED] 3GSX: non-problematic trimmed; trimmed_removed=212; output=3gsx_trimmed_mhc.pdb
[SAVED] 8EO8: non-problematic trimmed; trimmed_removed=247; output=8eo8_trimmed_mhc.pdb
[SAVED] 5V5M: non-problematic trimmed; trimmed_removed=113; output=5v5m_trimmed_mhc.pdb
[SAVED] 8EMG: non-problematic trimmed; trimmed_removed=406; output=8emg_trimmed_mhc.pdb
[SAVED] 7RM4: non-problematic trimmed; trimmed_removed=95; output=7rm4_trimmed_mhc.pdb
[SAVED] 7RRG: non-problematic trimmed; trimmed_removed=278; output=7rrg_trimmed_mhc.pdb
[SAVED] 2AV1: non-problematic trimmed; trimmed_removed=351; output=2av1_trimmed_mhc.pdb
[SAVED] 7DZN: non-problematic trimmed; trimmed_removed=137; output=7dzn_trimmed_mhc.pdb
[SAVED] 4U6Y: non-problematic trimmed; trimmed_removed=477; output=4u6y_trimmed_mhc.pdb
[MHC_MANUAL] 7SRK: moved ligand groups to chains=['C']
[SAVED] 7SRK: action=move; new_ligand_chains=['C']; moved=9; trimmed_removed=230; output=7srk_trimmed_mhc.pdb
[SAVED] 5C0B: non-problematic trimmed; trimmed_removed=168; output=5c0b_trimmed_mhc.pdb
[SAVED] 8ERX: non-problematic trimmed; trimmed_removed=365; output=8erx_trimmed_mhc.pdb
[SAVED] 8ES9: non-problematic trimmed; trimmed_removed=95; output=8es9_trimmed_mhc.pdb
[SAVED] 6VB0: non-problematic trimmed; trimmed_removed=496; output=6vb0_trimmed_mhc.pdb
[SAVED] 8E2Z: non-problematic trimmed; trimmed_removed=363; output=8e2z_trimmed_mhc.pdb
[SAVED] 4U1I: non-problematic trimmed; trimmed_removed=298; output=4u1i_trimmed_mhc.pdb
[SAVED] 2GUO: non-problematic trimmed; trimmed_removed=292; output=2guo_trimmed_mhc.pdb
[SAVED] 3L3K: non-problematic trimmed; trimmed_removed=199; output=3l3k_trimmed_mhc.pdb
[SAVED] 3UTS: non-problematic trimmed; trimmed_removed=115; output=3uts_trimmed_mhc.pdb
[SAVED] 9BL5: non-problematic trimmed; trimmed_removed=190; output=9bl5_trimmed_mhc.pdb
[SAVED] 4UQ3: non-problematic trimmed; trimmed_removed=309; output=4uq3_trimmed_mhc.pdb
[SAVED] 5WXC: non-problematic trimmed; trimmed_removed=209; output=5wxc_trimmed_mhc.pdb
[SAVED] 5T6W: non-problematic trimmed; trimmed_removed=262; output=5t6w_trimmed_mhc.pdb
[SAVED] 6JTN: non-problematic trimmed; trimmed_removed=406; output=6jtn_trimmed_mhc.pdb
[SAVED] 1OGA: non-problematic trimmed; trimmed_removed=288; output=1oga_trimmed_mhc.pdb
[SAVED] 6D2T: non-problematic trimmed; trimmed_removed=378; output=6d2t_trimmed_mhc.pdb
[SAVED] 6PBH: non-problematic trimmed; trimmed_removed=341; output=6pbh_trimmed_mhc.pdb
[SAVED] 5IEH: non-problematic trimmed; trimmed_removed=556; output=5ieh_trimmed_mhc.pdb
[SAVED] 1B0G: non-problematic trimmed; trimmed_removed=112; output=1b0g_trimmed_mhc.pdb
[SAVED] 7RZJ: non-problematic trimmed; trimmed_removed=425; output=7rzj_trimmed_mhc.pdb
[SAVED] 6MTL: non-problematic trimmed; trimmed_removed=517; output=6mtl_trimmed_mhc.pdb
[SAVED] 3MR9: non-problematic trimmed; trimmed_removed=300; output=3mr9_trimmed_mhc.pdb
[SAVED] 1B0R: non-problematic trimmed; trimmed_removed=89; output=1b0r_trimmed_mhc.pdb
[SAVED] 3GSQ: non-problematic trimmed; trimmed_removed=205; output=3gsq_trimmed_mhc.pdb
[SAVED] 2GTW: non-problematic trimmed; trimmed_removed=323; output=2gtw_trimmed_mhc.pdb
[SAVED] 3MRC: non-problematic trimmed; trimmed_removed=250; output=3mrc_trimmed_mhc.pdb
[SAVED] 3HCV: non-problematic trimmed; trimmed_removed=290; output=3hcv_trimmed_mhc.pdb
[SAVED] 6EWC: non-problematic trimmed; trimmed_removed=96; output=6ewc_trimmed_mhc.pdb
[SAVED] 1AGF: non-problematic trimmed; trimmed_removed=323; output=1agf_trimmed_mhc.pdb
[SAVED] 4JRX: non-problematic trimmed; trimmed_removed=137; output=4jrx_trimmed_mhc.pdb
[SAVED] 8ES8: non-problematic trimmed; trimmed_removed=95; output=8es8_trimmed_mhc.pdb
[SKIPPED] 1MHE: already present in 2_trimmed_mhc
[SAVED] 3I6G: non-problematic trimmed; trimmed_removed=304; output=3i6g_trimmed_mhc.pdb
[SAVED] 4L29: non-problematic trimmed; trimmed_removed=100; output=4l29_trimmed_mhc.pdb
[SAVED] 6BJ2: non-problematic trimmed; trimmed_removed=95; output=6bj2_trimmed_mhc.pdb
[SAVED] 7WT3: non-problematic trimmed; trimmed_removed=346; output=7wt3_trimmed_mhc.pdb
[SAVED] 4I4W: non-problematic trimmed; trimmed_removed=331; output=4i4w_trimmed_mhc.pdb
[SAVED] 7NDU: non-problematic trimmed; trimmed_removed=98; output=7ndu_trimmed_mhc.pdb
[SAVED] 5EU4: non-problematic trimmed; trimmed_removed=188; output=5eu4_trimmed_mhc.pdb
[SAVED] 6VB7: non-problematic trimmed; trimmed_removed=321; output=6vb7_trimmed_mhc.pdb
[SAVED] 3KPO: non-problematic trimmed; trimmed_removed=233; output=3kpo_trimmed_mhc.pdb
[SAVED] 3PWJ: non-problematic trimmed; trimmed_removed=324; output=3pwj_trimmed_mhc.pdb
[SAVED] 7N6D: non-problematic trimmed; trimmed_removed=128; output=7n6d_trimmed_mhc.pdb
[SAVED] 4E5X: non-problematic trimmed; trimmed_removed=202; output=4e5x_trimmed_mhc.pdb
[SAVED] 5C09: non-problematic trimmed; trimmed_removed=114; output=5c09_trimmed_mhc.pdb
[SAVED] 1AGD: non-problematic trimmed; trimmed_removed=408; output=1agd_trimmed_mhc.pdb
[SAVED] 7KGR: non-problematic trimmed; trimmed_removed=282; output=7kgr_trimmed_mhc.pdb
[SAVED] 1AO7: non-problematic trimmed; trimmed_removed=107; output=1ao7_trimmed_mhc.pdb
[SAVED] 7SIH: non-problematic trimmed; trimmed_removed=272; output=7sih_trimmed_mhc.pdb
[SAVED] 3GSR: non-problematic trimmed; trimmed_removed=210; output=3gsr_trimmed_mhc.pdb
[SAVED] 3H7B: non-problematic trimmed; trimmed_removed=297; output=3h7b_trimmed_mhc.pdb
[SAVED] 7Q98: non-problematic trimmed; trimmed_removed=143; output=7q98_trimmed_mhc.pdb
[SAVED] 1TVH: non-problematic trimmed; trimmed_removed=336; output=1tvh_trimmed_mhc.pdb
[SAVED] 3GSU: non-problematic trimmed; trimmed_removed=192; output=3gsu_trimmed_mhc.pdb
[SAVED] 3BZE: non-problematic trimmed; trimmed_removed=139; output=3bze_trimmed_mhc.pdb
[SAVED] 7EJN: non-problematic trimmed; trimmed_removed=177; output=7ejn_trimmed_mhc.pdb
[SAVED] 8RJI: non-problematic trimmed; trimmed_removed=169; output=8rji_trimmed_mhc.pdb
[SAVED] 3MRJ: non-problematic trimmed; trimmed_removed=242; output=3mrj_trimmed_mhc.pdb
[SAVED] 2J8U: non-problematic trimmed; trimmed_removed=95; output=2j8u_trimmed_mhc.pdb
[SAVED] 4FTV: non-problematic trimmed; trimmed_removed=110; output=4ftv_trimmed_mhc.pdb
[SAVED] 3HAE: non-problematic trimmed; trimmed_removed=96; output=3hae_trimmed_mhc.pdb
[SAVED] 6UZN: non-problematic trimmed; trimmed_removed=247; output=6uzn_trimmed_mhc.pdb
[SAVED] 1QR1: non-problematic trimmed; trimmed_removed=137; output=1qr1_trimmed_mhc.pdb
[SAVED] 6V3J: non-problematic trimmed; trimmed_removed=279; output=6v3j_trimmed_mhc.pdb
[SAVED] 5NMF: non-problematic trimmed; trimmed_removed=105; output=5nmf_trimmed_mhc.pdb
[SAVED] 7Q9A: non-problematic trimmed; trimmed_removed=182; output=7q9a_trimmed_mhc.pdb
[SAVED] 7JYW: non-problematic trimmed; trimmed_removed=112; output=7jyw_trimmed_mhc.pdb
[SAVED] 2AV7: non-problematic trimmed; trimmed_removed=325; output=2av7_trimmed_mhc.pdb
[SAVED] 6PYV: non-problematic trimmed; trimmed_removed=541; output=6pyv_trimmed_mhc.pdb
[SAVED] 7N1F: non-problematic trimmed; trimmed_removed=123; output=7n1f_trimmed_mhc.pdb
[SAVED] 6VM7: non-problematic trimmed; trimmed_removed=138; output=6vm7_trimmed_mhc.pdb
[SAVED] 8EMK: non-problematic trimmed; trimmed_removed=392; output=8emk_trimmed_mhc.pdb
[SAVED] 6D2R: non-problematic trimmed; trimmed_removed=453; output=6d2r_trimmed_mhc.pdb
[SAVED] 7U21: non-problematic trimmed; trimmed_removed=345; output=7u21_trimmed_mhc.pdb
[MHC_MANUAL] 6TDP: moved ligand groups to chains=['C']
[SAVED] 6TDP: action=move; new_ligand_chains=['C']; moved=2; trimmed_removed=446; output=6tdp_trimmed_mhc.pdb
[SAVED] 5DDH: non-problematic trimmed; trimmed_removed=343; output=5ddh_trimmed_mhc.pdb
[SAVED] 7M8T: non-problematic trimmed; trimmed_removed=422; output=7m8t_trimmed_mhc.pdb
[SAVED] 3VFS: non-problematic trimmed; trimmed_removed=507; output=3vfs_trimmed_mhc.pdb
[MHC_AUTO] 3VRI: [276] -> chain D
[SAVED] 3VRI: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=494; output=3vri_trimmed_mhc.pdb
[SAVED] 6Z9V: non-problematic trimmed; trimmed_removed=273; output=6z9v_trimmed_mhc.pdb
[SAVED] 4U1L: non-problematic trimmed; trimmed_removed=245; output=4u1l_trimmed_mhc.pdb
