pdb_id,new_chain,original_chain,uniprot_id,gene_name,uniprot_name,organism,classification
5ISZ,E,E,GO_FALLBACK,Missing entry,TCRbeta chain,Homo sapiens,TCRbeta chain
5ISZ,D,D,GO_FALLBACK,Missing entry,TCRalpha chain,Homo sapiens,TCRalpha chain
5JHD,D,D,GO_FALLBACK,Missing entry,TCRalpha chain,Homo sapiens,TCRalpha chain
5C09,E,E,GO_FALLBACK,Missing entry,1E6 TCR Beta Chain,Homo sapiens,1E6 TCR Beta Chain
4WWK,C,B,GO_FALLBACK,Missing entry,TCR Beta Chain-TRBV6-5,Homo sapiens,TCR Beta Chain-TRBV6-5
5BS0,E,E,GO_FALLBACK,Missing entry,"Protein TRBV5-1,Human nkt tcr beta chain",Homo sapiens,"Protein TRBV5-1,Human nkt tcr beta chain"
5C09,D,D,GO_FALLBACK,Missing entry,1E6 TCR Alpha Chain,Homo sapiens,1E6 TCR Alpha Chain
4WWK,B,A,GO_FALLBACK,Missing entry,TCR Alpha Chain-TRAV12-3,Homo sapiens,TCR Alpha Chain-TRAV12-3
5JHD,E,E,GO_FALLBACK,Missing entry,TCRbeta chain,Homo sapiens,TCRbeta chain
5BRZ,D,D,GO_FALLBACK,Missing entry,"Protein TRAV21,T-cell receptor alpha chain C region",Homo sapiens,"Protein TRAV21,T-cell receptor alpha chain C region"
5JZI,D,D,GO_FALLBACK,Missing entry,HCV1406 TCR alpha chain,Homo sapiens,HCV1406 TCR alpha chain
5JZI,E,E,GO_FALLBACK,Missing entry,HCV1406 TCR beta chain,Homo sapiens,HCV1406 TCR beta chain
5C0B,D,D,GO_FALLBACK,Missing entry,1E6 TCR Alpha Chain,Homo sapiens,1E6 TCR Alpha Chain
5L2K,C,D,GO_FALLBACK,Missing entry,GEM42 TCR alpha chain,Homo sapiens,GEM42 TCR alpha chain
5L2K,D,E,GO_FALLBACK,Missing entry,GEM42 TCR beta chain,Homo sapiens,GEM42 TCR beta chain
5C0A,D,D,GO_FALLBACK,Missing entry,1E6 TCR Alpha Chain,Homo sapiens,1E6 TCR Alpha Chain
5E9D,D,D,A0A075B6T6,TRAV12-2,T cell receptor alpha variable 12-2,Homo sapiens,TRAV12-2
5C08,E,E,GO_FALLBACK,Missing entry,1E6 TCR Beta Chain,Homo sapiens,1E6 TCR Beta Chain
5NME,D,D,GO_FALLBACK,Missing entry,T-cell receptor Alpha chain,Homo sapiens,T-cell receptor Alpha chain
5C0B,E,E,GO_FALLBACK,Missing entry,1E6 TCR Beta Chain,Homo sapiens,1E6 TCR Beta Chain
5NME,E,E,GO_FALLBACK,Missing entry,Human T-cell receptor beta chain,Homo sapiens,Human T-cell receptor beta chain
5NMF,D,D,GO_FALLBACK,Missing entry,HUman T-cell receptor Alpha chain,Homo sapiens,HUman T-cell receptor Alpha chain
5C0A,E,E,GO_FALLBACK,Missing entry,1E6 TCR Beta Chain,Homo sapiens,1E6 TCR Beta Chain
5NMF,E,E,GO_FALLBACK,Missing entry,Human T-cell receptor Beta chain,Homo sapiens,Human T-cell receptor Beta chain
5NMG,D,D,GO_FALLBACK,Missing entry,Human T-cell receptor alpha chain,Homo sapiens,Human T-cell receptor alpha chain
5C07,E,E,GO_FALLBACK,Missing entry,1E6 TCR Beta Chain,Homo sapiens,1E6 TCR Beta Chain
5EU6,E,E,GO_FALLBACK,Missing entry,Human TCR Heavy Chain,Homo sapiens,Human TCR Heavy Chain
5NMG,E,E,GO_FALLBACK,Missing entry,Human T-cell Receptor beta chain,Homo sapiens,Human T-cell Receptor beta chain
5HHO,D,D,GO_FALLBACK,Missing entry,JM22 TCR alpha chain,Homo sapiens,JM22 TCR alpha chain
5IRO,D,D,Q8BEL5,E3,Early E3 18.5 kDa glycoprotein,Human adenovirus E serotype 4,E3
5TEZ,D,I,GO_FALLBACK,Missing entry,TCR F50 alpha chain,Homo sapiens,TCR F50 alpha chain
5EU6,D,D,GO_FALLBACK,Missing entry,Human TCR Light Chain,Homo sapiens,Human TCR Light Chain
5TEZ,E,J,GO_FALLBACK,Missing entry,TCR F50 beta chain,Homo sapiens,TCR F50 beta chain
5U16,C,G,GO_FALLBACK,Missing entry,MAIT T-cell receptor alpha chain,Homo sapiens,MAIT T-cell receptor alpha chain
5U16,D,H,GO_FALLBACK,Missing entry,MAIT T-cell receptor beta chain,Homo sapiens,MAIT T-cell receptor beta chain
5U17,B,B,GO_FALLBACK,Missing entry,MAIT T-cell receptor alpha chain,Homo sapiens,MAIT T-cell receptor alpha chain
5BS0,D,D,GO_FALLBACK,Missing entry,"Protein TRAV21,T-cell receptor alpha chain C region",Homo sapiens,"Protein TRAV21,T-cell receptor alpha chain C region"
5U17,C,G,GO_FALLBACK,Missing entry,MAIT T-cell receptor beta chain,Homo sapiens,MAIT T-cell receptor beta chain
5U1R,B,D,GO_FALLBACK,Missing entry,MAIT T-cell receptor alpha chain,Homo sapiens,MAIT T-cell receptor alpha chain
5U1R,C,E,GO_FALLBACK,Missing entry,MAIT T-cell receptor beta chain,Homo sapiens,MAIT T-cell receptor beta chain
5HHM,D,D,GO_FALLBACK,Missing entry,JM22 TCR alpha chain,Homo sapiens,JM22 TCR alpha chain
5U2V,C,G,GO_FALLBACK,Missing entry,MAIT T-cell receptor alpha chain,Homo sapiens,MAIT T-cell receptor alpha chain
5U2V,D,H,GO_FALLBACK,Missing entry,MAIT T-cell receptor beta chain,Homo sapiens,MAIT T-cell receptor beta chain
5U6Q,B,D,GO_FALLBACK,Missing entry,MAIT T-cell receptor alpha chain,Homo sapiens,MAIT T-cell receptor alpha chain
5U6Q,C,E,GO_FALLBACK,Missing entry,MAIT T-cell receptor beta chain,Homo sapiens,MAIT T-cell receptor beta chain
5U72,B,B,GO_FALLBACK,Missing entry,MAIT T-cell receptor alpha chain,Homo sapiens,MAIT T-cell receptor alpha chain
5U72,C,G,GO_FALLBACK,Missing entry,MAIT T-cell receptor beta chain,Homo sapiens,MAIT T-cell receptor beta chain
5W1V,D,D,GO_FALLBACK,Missing entry,GF4 T cell receptor alpha chain,Homo sapiens,GF4 T cell receptor alpha chain
5T6Z,D,G,P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,Homo sapiens,KIR3DL1
5W1V,E,E,GO_FALLBACK,Missing entry,GF4 T cell receptor beta chain,Homo sapiens,GF4 T cell receptor beta chain
5HHM,E,E,GO_FALLBACK,Missing entry,JM22 TCR beta chain,Homo sapiens,JM22 TCR beta chain
5W1W,D,D,GO_FALLBACK,Missing entry,GF4 T cell receptor alpha chain,Homo sapiens,GF4 T cell receptor alpha chain
5W1W,E,E,GO_FALLBACK,Missing entry,GF4 T cell receptor beta chain,Homo sapiens,GF4 T cell receptor beta chain
5WKF,E,E,GO_FALLBACK,Missing entry,D30 TCR beta chain,Homo sapiens,D30 TCR beta chain
5C0C,E,J,GO_FALLBACK,Missing entry,1E6 TCR Beta Chain,Homo sapiens,1E6 TCR Beta Chain
5NHT,C,B,GO_FALLBACK,Missing entry,"T-cell receptor beta variable 19,TRB protein",Homo sapiens,"T-cell receptor beta variable 19,TRB protein"
5WKH,E,E,GO_FALLBACK,Missing entry,D30 TCR beta chain,Homo sapiens,D30 TCR beta chain
5NQK,C,B,A0A075B6N1,TRBV19,T cell receptor beta variable 19,Homo sapiens,TRBV19
5WKI,E,E,GO_FALLBACK,Missing entry,PG90 TCR beta chain,Homo sapiens,PG90 TCR beta chain
6BJ2,E,E,GO_FALLBACK,Missing entry,TCR 589 beta chain,Homo sapiens,TCR 589 beta chain
5HYJ,E,E,GO_FALLBACK,Missing entry,"Human T-cell Receptor, Class I, Heavy beta Chain",Homo sapiens,"Human T-cell Receptor, Class I, Heavy beta Chain"
5XOT,D,D,GO_FALLBACK,Missing entry,The Delta chain of TU55 TCR,Homo sapiens,The Delta chain of TU55 TCR
5XOT,E,E,GO_FALLBACK,Missing entry,The beta chain of TU55 TCR,Homo sapiens,The beta chain of TU55 TCR
6BJ3,E,H,GO_FALLBACK,Missing entry,TCR 55 beta chain,Homo sapiens,TCR 55 beta chain
5XOV,D,I,GO_FALLBACK,Missing entry,V-delta chain of T cell receptor,Homo sapiens,V-delta chain of T cell receptor
6BJ8,E,H,GO_FALLBACK,Missing entry,TCR 55 beta chain,Homo sapiens,TCR 55 beta chain
5XOV,E,J,GO_FALLBACK,Missing entry,V-beta chain of T cell receptor,Homo sapiens,V-beta chain of T cell receptor
5NHT,B,A,GO_FALLBACK,Missing entry,"T-cell receptor alpha variable 12-2,T-cell receptor, sp3.4 alpha chain",Homo sapiens,"T-cell receptor alpha variable 12-2,T-cell receptor, sp3.4 alpha chain"
6D78,D,D,GO_FALLBACK,Missing entry,"DMF5 alpha chain,DMF5 alpha chain",Homo sapiens,"DMF5 alpha chain,DMF5 alpha chain"
5YXN,B,A,GO_FALLBACK,Missing entry,T cell receptor alpha chain,Homo sapiens,T cell receptor alpha chain
5YXN,C,B,GO_FALLBACK,Missing entry,T cell receptor beta chain,Homo sapiens,T cell receptor beta chain
6D78,E,E,GO_FALLBACK,Missing entry,"DMF5 beta chain,DMF5 beta chain",Homo sapiens,"DMF5 beta chain,DMF5 beta chain"
5YXU,B,F-2,GO_FALLBACK,Missing entry,T cell receptor alpha chain,Homo sapiens,T cell receptor alpha chain
5MEN,D,D,GO_FALLBACK,Missing entry,"Protein TRAV22,Human nkt tcr alpha chain",Homo sapiens,"Protein TRAV22,Human nkt tcr alpha chain"
5HHO,E,E,GO_FALLBACK,Missing entry,JM22 TCR beta chain,Homo sapiens,JM22 TCR beta chain
5YXU,C,G-2,GO_FALLBACK,Missing entry,T cell receptor beta chain,Homo sapiens,T cell receptor beta chain
5NQK,B,A,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
6AM5,D,D,GO_FALLBACK,Missing entry,DMF5 TCR alpha chain,Homo sapiens,DMF5 TCR alpha chain
6AM5,E,E,GO_FALLBACK,Missing entry,DMF5 TCR beta chain,Homo sapiens,DMF5 TCR beta chain
6AMU,D,D,GO_FALLBACK,Missing entry,DMF5 TCR alpha chain,Homo sapiens,DMF5 TCR alpha chain
6AMU,E,E,GO_FALLBACK,Missing entry,DMF5 TCR beta chain,Homo sapiens,DMF5 TCR beta chain
6C09,C,C,GO_FALLBACK,Missing entry,3C8 T cell receptor alpha-chain,Homo sapiens,3C8 T cell receptor alpha-chain
6C09,D,D,GO_FALLBACK,Missing entry,3C8 T cell receptor beta-chain,Homo sapiens,3C8 T cell receptor beta-chain
6CUG,C,D,GO_FALLBACK,Missing entry,T-cell receptor alpha variable TRAV9-2 - BC8B TCR,Homo sapiens,T-cell receptor alpha variable TRAV9-2 - BC8B TCR
6CUG,D,E,GO_FALLBACK,Missing entry,T-cell receptor beta variable TRBV6-2 - BC8B TCR,Homo sapiens,T-cell receptor beta variable TRBV6-2 - BC8B TCR
5WHK,C,H,GO_FALLBACK,Missing entry,DX-2507 Fab heavy chain,Homo sapiens,DX-2507 Fab heavy chain
6D7G,C,E,GO_FALLBACK,Missing entry,"T-CELL RECEPTOR GAMMA VARIABLE 8,T-CELL RECEPTOR GAMMA-2 CHAIN C REGION",Homo sapiens,"T-CELL RECEPTOR GAMMA VARIABLE 8,T-CELL RECEPTOR GAMMA-2 CHAIN C REGION"
5WHK,D,L,Q6NS95,IGL@,Missing entry,Homo sapiens,IGL@
6EQA,D,D,GO_FALLBACK,Missing entry,"Mel5 TCR, alpha chain",Homo sapiens,"Mel5 TCR, alpha chain"
6EQB,D,D,GO_FALLBACK,Missing entry,"High Affinity Mel5 TCR, alpha chain",Homo sapiens,"High Affinity Mel5 TCR, alpha chain"
6EQA,E,E,GO_FALLBACK,Missing entry,"Mel5 TCR, beta chain",Homo sapiens,"Mel5 TCR, beta chain"
6EQB,E,E,GO_FALLBACK,Missing entry,"High Affinity Mel5 TCR, beta chain",Homo sapiens,"High Affinity Mel5 TCR, beta chain"
6FGB,D,L,GO_FALLBACK,Missing entry,1519.g57- Light chain,Homo sapiens,1519.g57- Light chain
6ILM,B,A-44,GO_FALLBACK,Missing entry,Capsid protein VP1,Echovirus E6,Capsid protein VP1
6ILM,D,B-44,GO_FALLBACK,Missing entry,Capsid protein VP2,Echovirus E6,Capsid protein VP2
6ILM,C,A-45,GO_FALLBACK,Missing entry,Capsid protein VP1,Echovirus E6,Capsid protein VP1
6ILM,F,C-45,GO_FALLBACK,Missing entry,Capsid protein VP3,Echovirus E6,Capsid protein VP3
6AVF,B,A,A0A0B4J268,TRAV4,T cell receptor alpha variable 4,Homo sapiens,TRAV4
6AVF,C,B,A0A5B6,TRBV28,T cell receptor beta variable 28,Homo sapiens,TRBV28
6AVG,B,C,A0A0B4J268,TRAV4,T cell receptor alpha variable 4,Homo sapiens,TRAV4
6AVG,C,D,A0A0B4J1U6,TRBV9,T cell receptor beta variable 9,Homo sapiens,TRBV9
6BJ3,D,D,Q6IRV4,TRA@,Missing entry,Homo sapiens,TRA@
6BJ2,D,D,Q6IRV4,TRA@,Missing entry,Homo sapiens,TRA@
6BJ8,D,D,Q6IRV4,TRA@,Missing entry,Homo sapiens,TRA@
5WKH,D,D,GO_FALLBACK,Missing entry,"T-cell receptor alpha variable 30,T-cell receptor, sp3.4 alpha chain",Homo sapiens,"T-cell receptor alpha variable 30,T-cell receptor, sp3.4 alpha chain"
6MTM,D,D,GO_FALLBACK,Missing entry,EM2 TCR alpha chain,Homo sapiens,EM2 TCR alpha chain
6D7G,B,D,Q6PJ56,TRA@,Missing entry,Homo sapiens,TRA@
6MTM,E,E,GO_FALLBACK,Missing entry,EM2 TCR beta chain,Homo sapiens,EM2 TCR beta chain
6P64,D,D-3,GO_FALLBACK,Missing entry,302TIL TCR alpha chain,Homo sapiens,302TIL TCR alpha chain
6P64,E,E-3,GO_FALLBACK,Missing entry,302TIL TCR beta chain,Homo sapiens,302TIL TCR beta chain
5HYJ,D,D,GO_FALLBACK,Missing entry,"Human T-cell Receptor, Class I, Light alpha Chain",Homo sapiens,"Human T-cell Receptor, Class I, Light alpha Chain"
6PUC,C,G,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
6PUC,D,H,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PUD,C,G,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
6PUD,D,H,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PUE,C,G,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
6PUE,D,H,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PUF,C,G,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
6PUF,D,H,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PUG,D,H,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PUG,C,G,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
5T70,D,G,P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,Homo sapiens,KIR3DL1
6PUH,B,B,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
6PUH,C,G,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PUI,B,B,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
5WKF,D,D,GO_FALLBACK,Missing entry,"T-cell receptor alpha variable 30,T-cell receptor, sp3.4 alpha chain Chimera",Homo sapiens,"T-cell receptor alpha variable 30,T-cell receptor, sp3.4 alpha chain Chimera"
6PUI,C,G,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PUJ,B,B,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
6PUJ,C,G,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PUK,B,B,GO_FALLBACK,Missing entry,TRA@ protein,Homo sapiens,TRA@ protein
5WKI,D,D,GO_FALLBACK,Missing entry,"T-cell receptor alpha variable 26-1,TRA@ protein",Homo sapiens,"T-cell receptor alpha variable 26-1,TRA@ protein"
6PUK,C,G,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6LA6,F,C-37,GO_FALLBACK,Missing entry,Capsid protein VP3,Echovirus E11,Capsid protein VP3
6PUL,C,G,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PUL,B,B,GO_FALLBACK,Missing entry,TRA@ protein,Homo sapiens,TRA@ protein
6PAG,D,D,P43628,KIR2DL3,Killer cell immunoglobulin-like receptor 2DL3,Homo sapiens,KIR2DL3
6LA7,D,B-56,GO_FALLBACK,Missing entry,Capsid protein VP2,Echovirus E11,Capsid protein VP2
6PUM,C,G,GO_FALLBACK,Missing entry,TCR alpha chain,Homo sapiens,TCR alpha chain
6PUM,D,H,GO_FALLBACK,Missing entry,TCR beta chain,Homo sapiens,TCR beta chain
6PVC,C,G,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
6PVC,D,H,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6PVD,C,G,GO_FALLBACK,Missing entry,Human TCR alpha chain,Homo sapiens,Human TCR alpha chain
6PVD,D,H,GO_FALLBACK,Missing entry,Human TCR beta chain,Homo sapiens,Human TCR beta chain
6LA7,B,A-56,GO_FALLBACK,Missing entry,Capsid protein VP1,Echovirus E11,Capsid protein VP1
5MEN,E,E,GO_FALLBACK,Missing entry,"Protein TRBV6-5,Human nkt tcr beta chain",Homo sapiens,"Protein TRBV6-5,Human nkt tcr beta chain"
6PA1,D,D,P43627,KIR2DL2,Killer cell immunoglobulin-like receptor 2DL2,Homo sapiens,KIR2DL2
6RP9,D,D,GO_FALLBACK,Missing entry,T-cell receptor alpha chain,Homo sapiens,T-cell receptor alpha chain
6RPA,D,D,GO_FALLBACK,Missing entry,T-cell receptor alpha chain,Homo sapiens,T-cell receptor alpha chain
6RP9,E,E,GO_FALLBACK,Missing entry,T-cell receptor beta chain,Homo sapiens,T-cell receptor beta chain
6DKP,E,E,GO_FALLBACK,Missing entry,DMF5 T-cell Receptor Beta Chain fusion,Homo sapiens,DMF5 T-cell Receptor Beta Chain fusion
6LA6,B,A-36,GO_FALLBACK,Missing entry,Capsid protein VP1,Echovirus E11,Capsid protein VP1
6V80,D,D,GO_FALLBACK,Missing entry,nkt tcr beta chain,Homo sapiens,nkt tcr beta chain
6RPA,E,E,GO_FALLBACK,Missing entry,T-cell receptor beta chain,Homo sapiens,T-cell receptor beta chain
6DKP,D,D,GO_FALLBACK,Missing entry,DMF5 T-cell Receptor Alpha Chain fusion,Homo sapiens,DMF5 T-cell Receptor Alpha Chain fusion
6RPB,D,D,GO_FALLBACK,Missing entry,T-cell receptor alpha chain,Homo sapiens,T-cell receptor alpha chain
6RPB,E,E,GO_FALLBACK,Missing entry,T-cell receptor beta chain,Homo sapiens,T-cell receptor beta chain
6RSY,D,D,GO_FALLBACK,Missing entry,a7b2 ALPHA CHAIN,Homo sapiens,a7b2 ALPHA CHAIN
6RSY,E,E,GO_FALLBACK,Missing entry,DMF4 Beta CHAIN,Homo sapiens,DMF4 Beta CHAIN
6SNY,B,A,GO_FALLBACK,Missing entry,Synthetic EPCR binding protein,synthetic construct,Synthetic EPCR binding protein
6TMO,D,D,GO_FALLBACK,Missing entry,Alpha chain of engineered high affinity T-cell receptor,Homo sapiens,Alpha chain of engineered high affinity T-cell receptor
6TMO,E,E,GO_FALLBACK,Missing entry,Beta chain of high affinity engineered T-cell receptor,Homo sapiens,Beta chain of high affinity engineered T-cell receptor
6TRO,D,D,GO_FALLBACK,Missing entry,T-cell receptor alpha chain,Homo sapiens,T-cell receptor alpha chain
6TRO,E,E,GO_FALLBACK,Missing entry,T-cell receptor beta chain,Homo sapiens,T-cell receptor beta chain
6UJ9,E,L,GO_FALLBACK,Missing entry,Fab light chain,Homo sapiens,Fab light chain
6UJ9,D,H,GO_FALLBACK,Missing entry,Fab heavy chain,Homo sapiens,Fab heavy chain
6ULN,D,D-2,GO_FALLBACK,Missing entry,TCR-V-alpha-4*01,Homo sapiens,TCR-V-alpha-4*01
6ULN,E,E-2,GO_FALLBACK,Missing entry,TCR-V-beta-5-6*01,Homo sapiens,TCR-V-beta-5-6*01
6ULR,D,D-2,GO_FALLBACK,Missing entry,TCR-V-alpha 4*01,Homo sapiens,TCR-V-alpha 4*01
6ULR,E,E-2,GO_FALLBACK,Missing entry,TCR-V-beta 5-6*01,Homo sapiens,TCR-V-beta 5-6*01
6QIO,B,A,P02768,ALB,Albumin,Homo sapiens,ALB
6UON,D,G,GO_FALLBACK,Missing entry,TCR-V-alpha-12-02*01,Homo sapiens,TCR-V-alpha-12-02*01
6UON,E,H,GO_FALLBACK,Missing entry,TCR-V-beta-10-2*01,Homo sapiens,TCR-V-beta-10-2*01
6QIP,B,A,P02768,ALB,Albumin,Homo sapiens,ALB
6V7Z,C,F,GO_FALLBACK,Missing entry,Nanobody VHH ID22,Lama glama,Nanobody VHH ID22
6V7Y,E,F,GO_FALLBACK,Missing entry,Nanobody VHH ID5,Lama glama,Nanobody VHH ID5
6V80,E,E,GO_FALLBACK,Missing entry,Nanobody VHH ID12,Lama glama,Nanobody VHH ID12
6VM8,E,E-2,GO_FALLBACK,Missing entry,SILv44 T cell receptor beta chain,Homo sapiens,SILv44 T cell receptor beta chain
6VM7,E,E-2,GO_FALLBACK,Missing entry,SILv44 T cell receptor beta chain,Homo sapiens,SILv44 T cell receptor beta chain
6VM7,D,D-2,GO_FALLBACK,Missing entry,SILv44 T cell receptor alpha chain,Homo sapiens,SILv44 T cell receptor alpha chain
6VM8,D,D-2,GO_FALLBACK,Missing entry,SILv44 T cell receptor alpha chain,Homo sapiens,SILv44 T cell receptor alpha chain
6VM9,D,D-2,GO_FALLBACK,Missing entry,T4H2 T cell receptor alpha chain,Homo sapiens,T4H2 T cell receptor alpha chain
6VM9,E,E-2,GO_FALLBACK,Missing entry,T4H2 T cell receptor beta chain,Homo sapiens,T4H2 T cell receptor beta chain
6VMA,D,D-2,GO_FALLBACK,Missing entry,T4H2 T cell receptor alpha chain,Homo sapiens,T4H2 T cell receptor alpha chain
6VMA,E,E-2,GO_FALLBACK,Missing entry,T4H2 T cell receptor beta chain,Homo sapiens,T4H2 T cell receptor beta chain
6VMC,D,D-2,GO_FALLBACK,Missing entry,T4H2 T cell receptor alpha chain,Homo sapiens,T4H2 T cell receptor alpha chain
6VMC,E,E-2,GO_FALLBACK,Missing entry,T4H2 T cell receptor beta chain,Homo sapiens,T4H2 T cell receptor beta chain
6VMX,E,E,GO_FALLBACK,Missing entry,HD14 beta chain,Homo sapiens,HD14 beta chain
6VMX,D,D,GO_FALLBACK,Missing entry,HD14 alpha chain,Homo sapiens,HD14 alpha chain
6VQO,C,D,GO_FALLBACK,Missing entry,"T-cell receptor 1a2, alfa chain",Homo sapiens,"T-cell receptor 1a2, alfa chain"
6VQO,D,E,GO_FALLBACK,Missing entry,"TCR receptor 1a2, beta chain",Homo sapiens,"TCR receptor 1a2, beta chain"
6VRM,C,D,GO_FALLBACK,Missing entry,"T-cell receptor 12-6, alfa chain",Homo sapiens,"T-cell receptor 12-6, alfa chain"
6VRM,D,E,GO_FALLBACK,Missing entry,"TCR 12-6, beta chain",Homo sapiens,"TCR 12-6, beta chain"
6VRN,C,D,GO_FALLBACK,Missing entry,"T-cell receptor 38-10, alfa chain",Homo sapiens,"T-cell receptor 38-10, alfa chain"
6V3J,D,G,P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,Homo sapiens,KIR3DL1
6VRN,D,E,GO_FALLBACK,Missing entry,"TCR repeptor 38-10, beta chain",Homo sapiens,"TCR repeptor 38-10, beta chain"
6W9U,C,G,GO_FALLBACK,Missing entry,TCR-alpha chain,Homo sapiens,TCR-alpha chain
6W9U,D,H,GO_FALLBACK,Missing entry,TCR-beta chain,Homo sapiens,TCR-beta chain
6W9V,C,G,GO_FALLBACK,Missing entry,TCR-alpha chain,Homo sapiens,TCR-alpha chain
6W9V,D,H,GO_FALLBACK,Missing entry,TCR-beta chain,Homo sapiens,TCR-beta chain
6XQP,C,E,GO_FALLBACK,Missing entry,TRAV12-2 alpha chain,Homo sapiens,TRAV12-2 alpha chain
6XQP,D,F,GO_FALLBACK,Missing entry,TRBV29-1,Homo sapiens,TRBV29-1
6R2L,E,E,GO_FALLBACK,Missing entry,"T cell receptor beta variable 11-2,Human nkt tcr beta chain",Homo sapiens,"T cell receptor beta variable 11-2,Human nkt tcr beta chain"
6ZKW,D,D,GO_FALLBACK,Missing entry,T-cell receptor alpha chain,Homo sapiens,T-cell receptor alpha chain
6R2L,D,D,GO_FALLBACK,Missing entry,"T cell receptor alpha variable 22,Human nkt tcr alpha chain",Homo sapiens,"T cell receptor alpha variable 22,Human nkt tcr alpha chain"
6ZKX,D,D,GO_FALLBACK,Missing entry,T-cell receptor alpha chain,Homo sapiens,T-cell receptor alpha chain
6ZKX,E,E,GO_FALLBACK,Missing entry,T-cell receptor beta chain,Homo sapiens,T-cell receptor beta chain
6ZKY,D,D,GO_FALLBACK,Missing entry,T-cell receptor alpha chain,Homo sapiens,T-cell receptor alpha chain
6ZKW,E,E,GO_FALLBACK,Missing entry,T-cell receptor beta chain,Homo sapiens,T-cell receptor beta chain
6ZKY,E,E,GO_FALLBACK,Missing entry,T-cell receptor beta chain,Homo sapiens,T-cell receptor beta chain
6ZKZ,D,D,GO_FALLBACK,Missing entry,T-cell receptor alpha chain,Homo sapiens,T-cell receptor alpha chain
6ZKZ,E,E,GO_FALLBACK,Missing entry,T-cell receptor beta chain,Homo sapiens,T-cell receptor beta chain
7BBG,D,H,GO_FALLBACK,Missing entry,Heavy chain of Fab fragment 11D06,Homo sapiens,Heavy chain of Fab fragment 11D06
7BBG,E,L,GO_FALLBACK,Missing entry,Light chain of Fab fragment 11D06,Homo sapiens,Light chain of Fab fragment 11D06
7BH8,E,G,GO_FALLBACK,Missing entry,3H4 Fab heavy chain,Mus musculus,3H4 Fab heavy chain
7BH8,F,H,GO_FALLBACK,Missing entry,3H4 Fab light chain,Mus musculus,3H4 Fab light chain
7DZM,D,D,GO_FALLBACK,Missing entry,beta chain T18A TCR,Homo sapiens,beta chain T18A TCR
7DZM,E,E,GO_FALLBACK,Missing entry,alpha chain T18A TCR,Homo sapiens,alpha chain T18A TCR
7DZN,D,D,GO_FALLBACK,Missing entry,beta chain T18A TCR,Homo sapiens,beta chain T18A TCR
6WNA,C,H,P01861,IGHG4,Immunoglobulin heavy constant gamma 4,Homo sapiens,IGHG4
6WOL,C,H,P01861,IGHG4,Immunoglobulin heavy constant gamma 4,Homo sapiens,IGHG4
7DZN,E,E,GO_FALLBACK,Missing entry,alpha chain T18A TCR,Homo sapiens,alpha chain T18A TCR
6V80,C,C,GO_FALLBACK,Missing entry,"T cell receptor alpha variable 10, nkt tcr alpha chain fusion",Homo sapiens,"T cell receptor alpha variable 10, nkt tcr alpha chain fusion"
7L1D,E,E,GO_FALLBACK,Missing entry,"T cell receptor, beta chain",Homo sapiens,"T cell receptor, beta chain"
7L1D,D,D,GO_FALLBACK,Missing entry,"T cell receptor, alpha chain",Homo sapiens,"T cell receptor, alpha chain"
7LLJ,C,K,GO_FALLBACK,Missing entry,T cell receptor gamma variable 8,Homo sapiens,T cell receptor gamma variable 8
